Africa,uccafrica
Amnesty,UCCAmnesty
Animal Welfare,AniWelUCC
CCAE Architecture,ccaearchitecturesociety
Art,uccart.soc
Barnardos,UCCBarnardos
Biology,uccbiosoc
Cancer,ucc.cancersociety
Chemical,236000773224765
Chinese,UccChineseSociety
Choral,UCCChoral
Christian Union,UCCChristianUnionSociety
Clinical Therapies,UccClinicalTherapiesSociety
Comedy,ucccomedy
Commerce,commsoc.ucc
Dentist,dentsocucc
Disability Activism & Awareness,uccdaasoc
DJ,djsocucc
Dramat,UCCDramat
Engineers Without Borders,EngineerswithoutbordersUCC
Environment,UCCEnvirosoc
Europa,ucceuropa
Feminist,UCCFemSoc
Film,uccfilm
French,uccfrenchsoc
Friends Of MSF,uccfomsf
Gaisce,GaisceUCC
Genetics,uccgensoc
Hope Foundation,UccHopeFoundation
Indian,ucc.indians
International Development,UCCIntDevSoc
International Relations,uccirsoc
International Students,ucc.internationals
Traditional Music,ucctradsoc
Islamic,UCCIslamicSociety
Italian,UCCItalianSociety
Japanese,uccjapansoc
Journalism,UCCJournalismSociety
Korean,ucckoreansociety
Labour,ucclabour
Law,ucclawsociety
LGBT,ucclgbt
Macra Na Feirme,uccmacra
Math,uccmathsoc
Medical,ucc.medsoc
Medieval And Renaissance,UCCMedRen
Musical,uccmusicalsociety
Mythology,UccMythology
Networking, Gaming and Technology,UCCNetsoc
Nursing And Midwifery,UCCnursmidsoc
Pharmacy,pharmsoc.ucc
Philosophical,uccphilosoph
Photography,uccphoto
Poker,uccpokersociety
Politics,PolSocUCC
SAMH,uccsamhsoc
Science,uccsciencesociety
Scifi,uccscifi
Sinn Fein,uccsinnfein
Social Science,uccsocsci
SSDP,UCCSSDP
Surgeon Noonan,1650501751859811
Surgeon,surgsoc
Suas,uccsuas
Fine Gael,uccyoungfinegael
Accounting And Finance,uccaccfin
An Chuallact,anchuallachtucc
Archaeological,UCCArchSoc
Economics,ucceconomics
Fashion,155068187434
Fianna Fail,UccFFSoc
Foodies,373486662727603
German,uccgermansociety
Hispanic,UCCHispanicSoc
Historical,276841219006188
Horse Racing,281964401864450
Hot Beverages,UCCHotBevs
Physics And Astronomy,uccphysoc
Psychology,110003839018417
Slainte,184958275298
An Cumann Drámaíochta,292193067563180
BIS Society,BisSociety
Engineering,UCCEngSoc
English,1528413287397046
FLAC,293165574222535
Geological,UccGeological
Government And Politics,216465755054445
Greens,ucc.greens
Harry Potter,HPSocietyUCC
Health,466162393565838
Knitting,UCCKnitSoc
Management And Marketing,MnMSocUCC
Mature Students,UCCMSS
Orchestra,OrchestraUCC
Planning,uccplanning
Simon,Uccsimonsociety
Socialist,uccsocialistyouth
South East Asia,526366970861527
Sophia,uccsophia
St. Vincent De Paul,SVPUCC
WARP,ucc.warps
